id_jogador,nome,posicao,jogos_disputados,gols,assistencias,desarmes,faltas_cometidas,cartoes_amarelos,cartoes_vermelhos,faltas_sofridas
1,Wellington Rato,Atacante,12,14,5,1,3,1,0,18
2,Jefferson Cabral,Meia,12,3,9,6,4,2,0,11
3,Carlos Silva,Zagueiro,11,1,1,19,8,3,0,4
4,Lucas Lima,Lateral,10,2,4,13,6,1,0,9
5,Felipe Santos,Atacante,9,7,3,2,5,2,1,12
6,Marcos Paulo,Zagueiro,12,0,0,21,10,4,0,3
7,João Pedro,Meia,11,4,6,7,3,1,0,14
8,Rafael Andrade,Atacante,10,6,2,1,4,1,0,10
9,Diego Moreira,Lateral,9,1,5,11,5,2,0,8
10,Bruno Costa,Goleiro,12,0,0,4,1,0,0,2
